                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1884,                 3.7498,                 4.2351,                0.00194,                0.30435,                0.00138,                0.00041,                 3.0888,                 4.1089,                 4.1575,                 0.0001,                 0.0001,                 0.0001
                      2,                 3.2497,                 3.6838,                 4.2353,                0.00194,                0.30435,                0.00158,                0.00043,                 3.0874,                 4.1126,                 4.1555,             0.00021782,             0.00021782,             0.00021782
                      3,                 3.2976,                 3.6104,                 4.1649,                0.00194,                0.30435,                0.00204,                 0.0005,                 3.0842,                 4.1161,                 4.1519,             0.00033327,             0.00033327,             0.00033327
                      4,                 3.2834,                 3.5276,                 4.1396,                0.00194,                0.30435,                0.00173,                0.00046,                  3.079,                 4.1173,                 4.1457,             0.00044634,             0.00044634,             0.00044634
                      5,                 3.2109,                 3.4938,                 4.1175,                0.00194,                0.30435,                0.00179,                0.00048,                 3.0698,                 4.1162,                 4.1359,             0.00055703,             0.00055703,             0.00055703
                      6,                 3.1933,                  3.476,                 4.0872,                0.00194,                0.30435,                0.00176,                0.00045,                 3.0589,                 4.1014,                 4.1216,             0.00066535,             0.00066535,             0.00066535
                      7,                 3.1668,                   3.36,                 4.0159,                0.00222,                0.34783,                0.00197,                0.00051,                 3.0509,                 4.0826,                 4.1139,             0.00077129,             0.00077129,             0.00077129
